조사년도,해역,연안명칭,수온 표층,수온 저층,염분 표층,염분 저층,수소이온농도 표층,수소이온농도 저층,용존산소량 표층,용존산소량 저층,화학적산소요구량 표층,화학적산소요구량 저층,암모니아질소 표층,암모니아질소 저층,아질산성 질소 표층,아질산성 질소 저층,질산성질소 표층,질산성질소 저층,용존무기질소 표층,용존무기질소 저층,총질소 표층,총질소 저층,용존무기인 표층,용존무기인 저층,총인 표층,총인 저층,규산규소 표층,규산규소 저층,부유물질 표층,부유물질 저층,클로필드 표층,클로필드 저층,투명도 표층
2017,동해,강구연안,15.83,9.69,33.53,34.22,8.27,8.12,9.33,8.06,0.96,1.09,2.89,3.44,2.55,4.86,26.69,114.22,32.13,122.52,147.43,224.45,7.58,21.44,15.32,29.87,162.66,390.82,7.49,5.18,2.23,1.37,6.98
2017,동해,월포연안,16.35,10.88,33.66,34.22,8.26,8.14,8.96,7.69,0.95,1.2,3.99,4.78,2.38,5.7,28.73,96.45,35.1,106.93,134.16,194.73,7.82,19.82,15.51,24.82,157.55,353.83,3.68,5.48,1.22,0.89,8.49
2017,동해,영일만,16.17,13.1,33.73,34.05,8.27,8.2,9.01,8.26,1.38,1.6,5.81,7.17,3.06,4.6,30.09,52.15,38.97,63.92,159.12,174.1,7.68,13.18,17.87,20.93,156.04,301.87,6.13,6.09,2.3,1.93,6.12
2017,동해,구룡포연안,18.19,13.71,33.31,34.09,8.17,8.11,8.08,7.58,1.27,1.53,2,2,3.63,4.75,50.87,86.97,56.5,93.72,144.38,189.42,12.73,16.62,18.82,24.03,254.66,342.13,4.42,4.54,1,0.85,8.2
2017,동해,감포연안,18.4,12.98,33.49,34.19,8.17,8.07,7.98,7.3,1.1,1.01,3.37,4.3,3.66,6.13,47.42,110.14,54.44,120.57,142.74,209.62,9.91,20.76,15.07,24.53,238.74,423.34,3.75,5.7,1.15,0.72,8.36
2017,남해,울산연안,17.19,15.19,32.99,33.55,8.13,8.1,7.95,7.44,1.24,1.34,38.7,34.1,7.07,6.23,118.78,106.7,164.56,148.31,307.69,288.03,15.59,15.14,25.71,26.53,309.12,356.29,7.21,7.66,2.25,1.89,4.13
2017,남해,온산연안,17.38,14.79,33.22,33.72,8.12,8.02,8.43,7.46,1.43,1.42,16.16,19.46,4.79,4.96,101.6,111.41,122.55,135.83,250.93,264.2,12.42,14.33,21.25,23.43,262.21,389.75,6.19,7.3,2.45,1.72,4.37
2017,남해,기장연안,15.78,14.33,33.95,34.11,8.16,8.13,7.8,7.28,0.88,1.02,5.6,5.89,7.14,7.55,75.62,95.1,88.36,108.54,160.1,180.69,14.03,15.1,20.26,21.71,309.56,344.73,5.18,7.35,1.35,0.68,3.58
2017,남해,부산연안,17.63,15.54,33.28,33.87,8.19,8.14,8.1,7.38,1.3,1.17,22.56,15.93,7.16,6.36,88.61,79.13,118.33,101.42,232.68,216.81,13.08,13.8,25.64,24.69,244.82,305.99,6.18,8.28,2.37,1.27,3.45
2017,남해,낙동강하구,17.67,14.79,32.81,33.98,8.2,8.12,7.9,6.87,1.66,1.53,15.03,12.87,8.21,7.07,79.86,121.29,103.09,141.23,227.8,237.74,11.5,16.85,20.4,24.98,288.35,418.96,4.89,9.47,2.32,1.41,3.4
